ORDER_DATE,TOTAL_ORDERS,TOTAL_REVENUE
2016-09-15,1,134.97
2016-10-03,7,441.98
2016-10-04,54,8595.89
2016-10-05,35,6169.77
2016-10-06,41,5889.96
2016-10-07,38,6075.35
2016-10-08,36,7592.89
2016-10-09,20,2399.70
2016-10-10,34,3159.57
2016-12-23,1,10.90
2017-01-05,32,396.90
2017-01-06,4,916.38
2017-01-07,4,1351.90
2017-01-08,4,449.78
2017-01-09,5,673.79
2017-01-10,6,1434.87
2017-01-11,10,1855.27
2017-01-12,12,1478.59
2017-01-13,10,2450.68
2017-01-14,16,876.89
2017-01-15,14,2199.57
2017-01-16,18,3275.02
2017-01-17,32,3302.53
2017-01-18,30,3216.49
2017-01-19,29,3553.95
2017-01-20,28,4035.83
2017-01-21,22,2313.71
2017-01-22,30,3619.27
2017-01-23,36,6299.22
2017-01-24,38,5155.30
2017-01-25,57,7114.95
2017-01-26,82,12907.97
2017-01-27,59,11178.95
2017-01-28,28,5056.01
2017-01-29,32,5966.76
2017-01-30,48,10241.15
2017-01-31,64,10476.63
2017-02-01,61,7538.77
2017-02-02,67,8813.65
2017-02-03,54,9641.82
2017-02-04,64,13599.27
2017-02-05,74,8406.89
2017-02-06,78,9399.76
2017-02-07,108,13704.69
2017-02-08,83,11550.69
2017-02-09,73,8971.60
2017-02-10,63,13142.34
2017-02-11,45,4307.56
2017-02-12,61,14922.35
2017-02-13,74,10136.15
2017-02-14,66,10885.41
2017-02-15,56,6526.87
2017-02-16,49,5823.14
2017-02-17,45,6801.26
2017-02-18,52,7297.33
2017-02-19,37,3564.83
2017-02-20,59,7156.41
2017-02-21,39,8023.17
2017-02-22,53,5935.72
2017-02-23,57,6271.34
2017-02-24,60,6630.12
2017-02-25,39,3573.69
2017-02-26,42,5132.49
2017-02-27,41,5764.32
2017-02-28,53,10701.76
2017-03-01,93,12203.41
2017-03-02,66,11164.50
2017-03-03,72,12364.44
2017-03-04,69,8594.74
2017-03-05,67,6662.93
2017-03-06,94,8618.04
2017-03-07,78,11388.62
2017-03-08,73,13178.97
2017-03-09,88,10976.84
2017-03-10,84,11916.08
2017-03-11,68,10513.41
2017-03-12,63,6496.17
2017-03-13,104,16351.46
2017-03-14,95,13935.57
2017-03-15,101,14362.04
2017-03-16,100,14134.44
2017-03-17,64,11910.50
2017-03-18,71,16145.92
2017-03-19,56,6649.34
2017-03-20,113,16861.09
2017-03-21,92,11311.15
2017-03-22,104,14150.98
2017-03-23,105,16073.78
2017-03-24,75,10094.57
2017-03-25,72,9301.89
2017-03-26,63,6101.05
2017-03-27,107,16186.17
2017-03-28,96,11420.22
2017-03-29,72,8164.14
2017-03-30,72,9795.61
2017-03-31,69,12170.78
2017-04-01,66,17518.47
2017-04-02,64,8999.89
2017-04-03,68,8843.07
2017-04-04,96,12301.65
2017-04-05,93,18328.24
2017-04-06,92,19130.49
2017-04-07,82,12932.49
2017-04-08,64,8457.09
2017-04-09,68,7715.85
2017-04-10,84,11378.51
2017-04-11,73,6972.61
2017-04-12,61,7790.21
2017-04-13,60,9691.43
2017-04-14,47,6704.19
2017-04-15,49,8210.19
2017-04-16,47,5025.96
2017-04-17,58,7432.09
2017-04-18,71,21286.72
2017-04-19,93,11755.68
2017-04-20,91,12300.64
2017-04-21,66,8426.27
2017-04-22,82,12761.18
2017-04-23,84,9904.05
2017-04-24,110,13026.85
2017-04-25,106,13747.46
2017-04-26,122,15365.59
2017-04-27,75,9521.93
2017-04-28,95,15585.79
2017-04-29,70,11573.73
2017-04-30,66,7981.36
2017-05-01,111,11786.89
2017-05-02,122,17304.91
2017-05-03,101,10037.06
2017-05-04,107,13493.56
2017-05-05,104,13622.07
2017-05-06,103,14328.28
2017-05-07,102,16303.38
2017-05-08,120,15873.06
2017-05-09,120,20525.66
2017-05-10,109,20445.83
2017-05-11,124,18058.66
2017-05-12,105,11656.75
2017-05-13,67,8353.97
2017-05-14,108,14252.00
2017-05-15,149,17679.45
2017-05-16,149,21050.99
2017-05-17,139,18130.96
2017-05-18,124,18205.14
2017-05-19,140,17490.17
2017-05-20,70,10538.41
